episode,epsilon,reward,steps,exit_reason
320,1,-378.1243649550939,195,terminated
321,1,-429.0835765882944,197,terminated
322,1,-439.63542011662213,198,terminated
323,1,-386.10113737328817,197,terminated
324,1,-408.42922785003924,193,terminated
325,1,-396.2879083305315,198,terminated
326,1,-375.4152137303681,182,terminated
327,1,-458.53805162720045,194,terminated
328,1,-458.0217856532243,200,terminated
329,1,-423.6997637022967,192,terminated
330,1,-398.55526768259136,192,terminated
331,1,-430.3159517459284,200,terminated
332,1,-399.9858363183578,189,terminated
333,1,-450.8946331055881,204,terminated
334,1,-404.5950884062391,195,terminated
335,1,-445.93380319922204,196,terminated
336,1,-414.6987875748888,200,terminated
337,1,-398.23335651457984,193,terminated
338,1,-417.0369310206666,188,terminated
339,1,-454.37073379231896,197,terminated
340,1,-363.8386825753617,181,terminated
341,1,-425.6567674283572,192,terminated
342,1,-454.0993651170848,196,terminated
343,1,-448.7963535456132,201,terminated
344,1,-465.3888374586542,201,terminated
345,1,-426.7626130720322,196,terminated
346,1,-376.39341198647844,190,terminated
347,1,-415.7077708973627,190,terminated
348,1,-403.7410075121223,193,terminated
349,1,-377.4238832360817,189,terminated
350,1,-424.833659565477,191,terminated
351,1,-431.58699968104884,196,terminated
352,1,-369.02505504300416,181,terminated
353,1,-412.5614340904299,183,terminated
354,1,-482.0863982704708,192,terminated
355,1,-418.5863232900576,188,terminated
356,1,-421.0538846927339,190,terminated
357,1,-383.2612045359299,195,terminated
358,1,-428.550349138023,197,terminated
359,1,-444.33232330532564,193,terminated
360,1,-389.4821364321958,189,terminated
361,1,-456.4970646448164,199,terminated
362,1,-439.99717048309003,196,terminated
363,1,-421.9308094980591,208,terminated
364,1,-436.7334360532758,191,terminated
365,1,-408.9974200554671,193,terminated
366,1,-389.8615828824949,199,terminated
367,1,-447.51207954314935,185,terminated
368,1,-458.31700218665605,202,terminated
369,1,-398.7815794988678,191,terminated
370,1,-443.9957530143629,190,terminated
371,1,-426.68450005169586,189,terminated
372,1,-438.00770770876346,192,terminated
373,1,-395.4599980292767,193,terminated
374,1,-454.8504373214639,191,terminated
375,1,-462.5339385937696,203,terminated
376,1,-419.67526732646644,194,terminated
377,1,-447.6394838467078,194,terminated
378,1,-413.45711517106764,192,terminated
379,1,-456.1619587042981,199,terminated
380,1,-422.03964184329425,196,terminated
381,1,-411.1818826091209,192,terminated
382,1,-384.37063563846783,199,terminated
383,1,-404.8885709672318,203,terminated
384,1,-394.5812910737217,197,terminated
385,1,-393.00629817624485,197,terminated
386,1,-447.2550236543253,188,terminated
