episode,epsilon,reward,steps,exit_reason
427,1,-412.73685550150765,201,terminated
428,1,-380.45674672848656,186,terminated
429,1,-474.1430942865251,200,terminated
430,1,-443.80469656979415,196,terminated
431,1,-416.6901965085443,196,terminated
432,1,-428.5239643868269,189,terminated
433,1,-426.01266276714716,195,terminated
434,1,-414.1550096014116,190,terminated
435,1,-406.14619253379,189,terminated
436,1,-446.9269827318855,194,terminated
437,1,-446.5039137521916,194,terminated
438,1,-365.7637222107151,187,terminated
439,1,-456.06213904624366,191,terminated
440,1,-398.49057713134266,193,terminated
441,1,-418.37907354841826,194,terminated
442,1,-445.76895318354565,193,terminated
443,1,-421.4054246201405,191,terminated
444,1,-475.6684819375945,201,terminated
445,1,-382.6550469388754,185,terminated
446,1,-388.3049568443272,187,terminated
447,1,-398.9058974219329,195,terminated
448,1,-442.4110810531419,184,terminated
449,1,-401.0517050373711,194,terminated
450,1,-386.98702239215675,192,terminated
451,1,-395.494659575463,194,terminated
452,1,-438.8125039311546,201,terminated
453,1,-419.76952728071115,205,terminated
454,1,-447.2745558437625,189,terminated
455,1,-378.366266502352,194,terminated
456,1,-400.01069479043224,194,terminated
457,1,-398.7956355890428,199,terminated
458,1,-407.7269884222558,197,terminated
459,1,-440.0600530578895,195,terminated
460,1,-406.15400202315533,193,terminated
461,1,-407.1592147339122,191,terminated
462,1,-389.8432132156115,196,terminated
463,1,-446.9425651729035,194,terminated
464,1,-381.87136520598506,194,terminated
465,1,-391.94691299165135,194,terminated
466,1,-383.04529728655245,191,terminated
467,1,-381.2674534948561,187,terminated
468,1,-443.9928833376,193,terminated
469,1,-423.19677693415775,185,terminated
470,1,-409.6149387891954,201,terminated
471,1,-422.334695109496,195,terminated
472,1,-425.0444449513265,190,terminated
473,1,-390.1288013909499,193,terminated
474,1,-456.61948999281924,198,terminated
475,1,-411.54355698901196,198,terminated
476,1,-414.68538768793894,198,terminated
477,1,-394.2640368638939,190,terminated
478,1,-380.6858619566294,186,terminated
479,1,-420.96804243745703,200,terminated
480,1,-433.59385763507106,195,terminated
481,1,-403.0609710068579,191,terminated
482,1,-402.8203953045016,197,terminated
483,1,-424.8977398365118,189,terminated
484,1,-413.92617084348507,197,terminated
485,1,-437.5374553588953,191,terminated
486,1,-404.86676065706774,191,terminated
487,1,-450.1010320022173,196,terminated
488,1,-419.25594744209826,188,terminated
489,1,-410.0716900803962,190,terminated
490,1,-416.76688340127737,193,terminated
491,1,-401.21709852565294,192,terminated
492,1,-436.8002782826771,197,terminated
493,1,-446.0874706673096,196,terminated
494,1,-391.86703859276446,192,terminated
495,1,-433.11424542021166,192,terminated
496,1,-402.1935136995778,193,terminated
497,1,-396.96150371556814,193,terminated
498,1,-436.27518980774926,194,terminated
499,1,-371.6039162556036,190,terminated
500,1,-428.9512000489221,189,terminated
501,1,-400.6192485896897,191,terminated
502,1,-399.39742560487093,191,terminated
503,1,-395.8372009813629,192,terminated
504,1,-394.05310391327816,191,terminated
505,1,-427.8163818665081,199,terminated
506,1,-432.9394312842549,192,terminated
507,1,-449.777475359693,197,terminated
508,1,-443.3443712364832,199,terminated
509,1,-410.3268608426886,194,terminated
510,1,-461.21093141482123,196,terminated
511,1,-389.63319037148744,192,terminated
512,1,-359.2753359664098,182,terminated
513,1,-397.7336529527103,188,terminated
514,1,-435.18586086899427,205,terminated
515,1,-429.5847707690881,193,terminated
516,1,-418.4034599219228,186,terminated
517,1,-404.01474780852556,199,terminated
518,1,-438.09235386936564,191,terminated
519,1,-411.52240764566994,195,terminated
520,1,-452.08291272805087,194,terminated
521,1,-414.8161051619533,189,terminated
522,1,-404.2511145965074,192,terminated
523,1,-402.3534882101902,194,terminated
524,1,-445.35495131003773,199,terminated
525,1,-417.99632862327815,187,terminated
526,1,-406.599578005749,198,terminated
527,1,-456.2857777078426,193,terminated
528,1,-421.6274992947278,201,terminated
529,1,-402.0258907632244,199,terminated
530,1,-382.8691597360377,191,terminated
531,1,-416.21562500790964,186,terminated
532,1,-423.89195359766705,198,terminated
533,1,-441.64330530981107,194,terminated
534,1,-388.75490686895,194,terminated
535,1,-450.15515561182224,191,terminated
536,1,-438.38774482352954,199,terminated
537,1,-433.17947355983165,197,terminated
538,1,-441.0553583539927,198,terminated
539,1,-401.454230423512,197,terminated
540,1,-430.7422570475865,197,terminated
541,1,-454.36122461797356,196,terminated
542,1,-392.7761863248886,192,terminated
543,1,-401.9181707381261,188,terminated
544,1,-437.2007754923836,198,terminated
545,1,-398.21868727981405,195,terminated
546,1,-399.4055395515012,192,terminated
547,1,-447.6851336916835,196,terminated
548,1,-452.88962066999363,196,terminated
549,1,-435.13881643009677,195,terminated
550,1,-419.81888212288106,194,terminated
551,1,-455.27158684560806,194,terminated
552,1,-456.0055690705086,197,terminated
553,1,-454.3964263870751,200,terminated
554,1,-417.22050037243804,193,terminated
555,1,-426.3849396080076,191,terminated
556,1,-449.2167480163099,192,terminated
557,1,-392.72081137116925,193,terminated
558,1,-408.40042283565106,190,terminated
559,1,-422.5590733926459,203,terminated
560,1,-383.32345801034154,185,terminated
561,1,-423.6899989722425,189,terminated
562,1,-438.78695783339464,193,terminated
563,1,-446.9087805611987,191,terminated
564,1,-384.81090835979944,185,terminated
565,1,-415.9937762481683,186,terminated
566,1,-419.4974455213467,199,terminated
567,1,-382.403677139844,187,terminated
568,1,-465.8803233549189,198,terminated
569,1,-438.7039849426228,194,terminated
570,1,-393.9616977002022,191,terminated
571,1,-378.63790624450064,184,terminated
572,1,-421.55444312411703,193,terminated
573,1,-447.2720390487119,188,terminated
574,1,-385.5890404520041,186,terminated
575,1,-398.86885192700663,193,terminated
576,1,-365.79907842915935,187,terminated
577,1,-430.4919842733386,190,terminated
578,1,-436.00776661161234,196,terminated
579,1,-391.067246581445,191,terminated
580,1,-463.1479513175356,200,terminated
581,1,-392.07483214383126,187,terminated
582,1,-408.14639014829834,186,terminated
583,1,-403.21201461698126,199,terminated
584,1,-378.96649306397035,189,terminated
585,1,-439.35033568056053,190,terminated
586,1,-459.7316286707958,197,terminated
587,1,-462.3791802882925,201,terminated
588,1,-420.93113733887037,202,terminated
589,1,-389.3884865223183,193,terminated
590,1,-372.3324019577393,193,terminated
591,1,-404.4896257956803,193,terminated
592,1,-417.7756608918854,196,terminated
593,1,-469.9149565899041,202,terminated
594,1,-457.0672989710616,192,terminated
595,1,-380.03960220292913,190,terminated
596,1,-423.9998021024515,198,terminated
597,1,-402.32064785853385,201,terminated
598,1,-413.4527144708034,196,terminated
599,1,-390.82874227503953,193,terminated
600,1,-448.16432806512535,199,terminated
601,1,-445.87834297330807,198,terminated
602,1,-425.30752941159557,197,terminated
603,1,-461.7317728201337,195,terminated
604,1,-387.38413146738117,190,terminated
605,1,-391.82596817571573,190,terminated
606,1,-442.8308921515955,194,terminated
